1H16_A/PFL1,1R9E_A/PFL2_DhaB_BssA,1HK8_A/RNR_III,1L1L_A/RNR_II_MONOMER,4R1R_A/RNR_1,1XJE_A/RNR_II_Dimer,2HA9_A/RNR_PFL_like_DUF711,20808264/RNR_III,38199336/RNR_III,29897259/RNR_III,46578715/RNR_III,34395948/RNR_III,16799382/RNR_III,17549184/RNR_III,50843575/RNR_III,15597116/RNR_III,42526839/RNR_III,34103723/RNR_III,45047350/RNR_III,31745026/RNR_III,18309899/RNR_III,23466296/RNR_III,19703656/RNR_III,18311489/RNR_III,15679535/RNR_III,25028919/RNR_III,19913820/RNR_III,19887396/RNR_III,14589982/RNR_III,41615134/RNR_III,26553948/RNR_III,32034522/RNR_III,56459299/RNR_III,15643151/RNR_III,122202257/RNR_II_MONOMER,46445745/RNR_II_MONOMER,182676582/RNR_II_MONOMER,66801255/RNR_II_MONOMER,22298870/RNR_II_MONOMER,2F3O_A/PFL2_DhaB_BssA,28379125/PFL2_DhaB_BssA,418519/PFL2_DhaB_BssA,3024375/PFL2_DhaB_BssA,22536514/PFL2_DhaB_BssA,28203085/PFL2_DhaB_BssA,23954275/PFL2_DhaB_BssA,28211126/PFL2_DhaB_BssA,26250357/PFL2_DhaB_BssA,57158548/PFL2_DhaB_BssA,51244468/PFL2_DhaB_BssA,39984089/PFL2_DhaB_BssA,46580677/PFL2_DhaB_BssA,28300939/PFL2_DhaB_BssA,50877916/PFL2_DhaB_BssA,56476471/PFL2_DhaB_BssA,51850061/PFL2_DhaB_BssA,2500058/PFL1,3122593/PFL1,4218500/PFL1,6580769/PFL1,22298533/PFL1,28379671/PFL1,29350146/PFL1,29376172/PFL1,23465524/PFL1,16801097/PFL1,47525779/PFL1,19713713/PFL1,1PEQ_A/RNR_1,4R1R_C/RNR_1,2WGH_A/RNR_1,1ZYZ_A/RNR_1,417657/RNR_1,1350599/RNR_1,1350600/RNR_1,1710384/RNR_1,1710391/RNR_1,3914639/RNR_1,3914655/RNR_1,3914656/RNR_1,6093975/RNR_1,6225952/RNR_1,7388069/RNR_1,10957414/RNR_1,12644286/RNR_1,13882932/RNR_1,15290502/RNR_1,15604373/RNR_1,15674554/RNR_1,15677158/RNR_1,15791174/RNR_1,18266787/RNR_1,18311343/RNR_1,19074701/RNR_1,19703450/RNR_1,21223594/RNR_1,21910585/RNR_1,23100544/RNR_1,28198392/RNR_1,28493650/RNR_1,29654844/RNR_1,30019504/RNR_1,30316299/RNR_1,30793895/RNR_1,33236863/RNR_1,33598410/RNR_1,39938540/RNR_1,46100377/RNR_1,46255233/RNR_1,46446982/RNR_1,49256098/RNR_1,51891460/RNR_1,52000447/RNR_1,53728875/RNR_1,56707667/RNR_1,57014144/RNR_1,66810005/RNR_1,71895081/RNR_1,72163400/RNR_1,2648891/RNR_II_Dimer,57234895/RNR_II_Dimer,16082440/RNR_II_Dimer,51893898/RNR_II_Dimer,2621734/RNR_II_Dimer,15897814/RNR_II_Dimer,20090518/RNR_II_Dimer,42557734/RNR_II_Dimer,51246679/RNR_II_Dimer,15839968/RNR_II_Dimer,34102757/RNR_II_Dimer,20808702/RNR_II_Dimer,14590272/RNR_II_Dimer,42522732/RNR_II_Dimer,74055571/RNR_II_Dimer,81568276/RNR_II_Dimer,53803344/RNR_II_Dimer,15790595/RNR_II_Dimer,18313863/RNR_II_Dimer,21673413/RNR_II_Dimer,81737311/RNR_II_Dimer,21224150/RNR_II_Dimer,10175431/RNR_II_Dimer,32477697/RNR_II_Dimer,73748165/RNR_II_Dimer,47458851/RNR_II_Dimer,28210310/RNR_II_Dimer,17544914/RNR_II_Dimer,34397173/RNR_II_Dimer,53723300/RNR_II_Dimer,157165627/RNR_PFL_like_DUF712,18310479/RNR_PFL_like_DUF713,253581564/RNR_PFL_like_DUF714,150385022/RNR_PFL_like_DUF715,53728820/RNR_PFL_like_DUF716,254669585/RNR_PFL_like_DUF717,20090543/RNR_PFL_like_DUF718,23396954/RNR_PFL_like_DUF719,20094650/RNR_PFL_like_DUF720,154501151/RNR_PFL_like_DUF721,237732939/RNR_PFL_like_DUF722,15669861/RNR_PFL_like_DUF723,170290665/RNR_PFL_like_DUF724,18314171/RNR_PFL_like_DUF725,146303128/RNR_PFL_like_DUF726,15920428/RNR_PFL_like_DUF727,229536413/RNR_PFL_like_DUF728
1150,1100,943,1190,1140,1150,1240,420,449,937,0,909,896,418,934,404,385,924,819,926,508,929,936,891,764,901,800,791,752,736,1010,965,963,930,1250,1230,1190,1250,1230,1130,1120,1100,1130,1110,1130,1160,1180,1120,1080,1070,1080,1170,1170,1200,1240,1260,1130,1160,1150,1140,1140,1160,1120,1110,1170,1140,1130,1160,1150,1140,1160,1150,1170,1130,1160,1110,1140,1160,1100,1180,1130,1130,1150,1170,1150,1140,1110,1180,1140,1150,1160,1140,1140,1150,1100,1190,1120,1130,1110,1140,1160,1100,1170,1180,1140,1180,1120,1170,1110,1180,1170,1090,1160,1130,1130,1110,1160,1160,1140,1120,1140,1150,1140,1150,1140,1120,1170,1160,1110,1150,1150,1150,1200,1140,1190,1160,1190,1150,1180,1210,1140,1180,1220,1130,1180,1160,1160,1120,1230,1240,1230,1220,1230,1230,1220,1220,1250,1240,1230,1240,1220,1260,1300,1260,1250,1300
1120,1160,389,1140,1100,1150,1250,911,956,801,909,0,366,919,772,910,938,306,846,856,926,447,625,671,844,559,972,919,1060,1050,762,1090,1080,1030,1230,1190,1200,1230,1210,1160,1140,1120,1180,1160,1180,1180,1200,1160,1130,1110,1130,1170,1100,1180,1180,1190,1140,1130,1140,1130,1140,1140,1120,1130,1170,1120,1150,1140,1110,1100,1150,1100,1130,1130,1090,1070,1120,1120,1120,1150,1120,1160,1150,1090,1130,1130,1130,1170,1110,1120,1120,1110,1180,1110,1070,1110,1110,1100,1100,1090,1170,1080,1110,1140,1160,1160,1080,1100,1150,1120,1140,1120,1110,1180,1140,1090,1120,1150,1170,1100,1120,1130,1120,1120,1130,1090,1100,1110,1110,1110,1060,1140,1150,1110,1170,1090,1110,1180,1140,1170,1100,1110,1150,1100,1100,1160,1150,1110,1160,1250,1240,1230,1250,1220,1230,1250,1230,1220,1240,1230,1250,1230,1280,1230,1250,1220
1120,1150,441,1200,1110,1150,1260,878,932,855,896,366,0,938,783,923,932,417,822,853,910,341,580,736,843,604,961,899,1030,998,742,1080,1070,1050,1230,1210,1190,1220,1210,1140,1140,1120,1190,1160,1170,1150,1160,1160,1140,1120,1130,1170,1090,1160,1190,1200,1150,1130,1120,1150,1140,1110,1120,1140,1160,1120,1140,1140,1100,1110,1150,1120,1150,1140,1110,1080,1140,1120,1160,1160,1190,1170,1200,1130,1140,1130,1160,1180,1120,1140,1160,1120,1180,1110,1100,1160,1070,1170,1160,1140,1170,1090,1130,1130,1180,1190,1110,1110,1170,1140,1150,1180,1130,1210,1130,1100,1130,1160,1170,1140,1140,1170,1170,1150,1160,1140,1120,1150,1160,1130,1080,1140,1160,1150,1200,1130,1130,1180,1190,1220,1140,1130,1160,1160,1130,1170,1150,1120,1140,1270,1250,1240,1270,1220,1230,1260,1260,1250,1250,1230,1260,1250,1300,1250,1260,1240
1120,1110,957,1150,1180,1120,1220,377,209,943,418,919,938,0,899,195,366,949,799,976,530,937,916,947,760,924,753,854,751,801,977,986,963,945,1230,1260,1170,1230,1260,1150,1110,1100,1120,1110,1130,1140,1160,1130,1130,1100,1100,1160,1170,1180,1220,1230,1110,1160,1130,1130,1130,1130,1140,1120,1160,1130,1110,1150,1150,1180,1180,1160,1170,1130,1190,1110,1160,1200,1120,1180,1140,1100,1130,1150,1190,1170,1130,1200,1130,1180,1150,1180,1160,1180,1110,1150,1130,1120,1100,1140,1160,1110,1200,1190,1140,1160,1150,1190,1130,1180,1190,1120,1180,1150,1140,1120,1200,1180,1130,1150,1130,1150,1150,1130,1150,1160,1160,1150,1120,1150,1190,1170,1180,1140,1190,1190,1160,1150,1160,1180,1150,1190,1200,1120,1170,1170,1150,1150,1160,1220,1230,1210,1210,1210,1210,1220,1240,1220,1220,1220,1200,1250,1280,1240,1230,1280
1140,1150,760,1190,1140,1140,1250,892,864,459,934,772,783,899,0,900,918,770,835,488,929,783,750,569,789,772,927,863,994,1010,888,1090,1060,1020,1250,1250,1190,1250,1210,1090,1120,1120,1130,1150,1160,1110,1110,1120,1110,1090,1090,1200,1100,1160,1170,1180,1150,1120,1140,1130,1140,1090,1140,1150,1160,1120,1100,1110,1170,1140,1170,1140,1160,1150,1140,1160,1150,1150,1140,1180,1190,1180,1180,1170,1150,1170,1190,1200,1160,1150,1200,1140,1210,1140,1130,1150,1170,1180,1170,1150,1200,1160,1170,1150,1210,1200,1200,1160,1150,1170,1170,1190,1160,1190,1180,1130,1170,1180,1200,1130,1120,1140,1180,1120,1150,1180,1140,1160,1110,1110,1150,1120,1190,1100,1200,1140,1150,1130,1180,1210,1110,1180,1220,1110,1180,1140,1110,1180,1150,1240,1240,1230,1230,1240,1240,1240,1240,1220,1240,1260,1230,1230,1260,1210,1240,1260
1120,1110,917,1150,1150,1100,1230,382,257,926,404,910,923,195,900,0,377,900,801,973,506,922,920,935,761,891,798,872,756,810,969,989,979,918,1230,1250,1150,1220,1240,1120,1100,1090,1130,1120,1100,1100,1150,1130,1090,1080,1050,1180,1160,1140,1210,1200,1120,1150,1140,1120,1140,1120,1140,1120,1150,1120,1100,1150,1120,1150,1170,1150,1150,1100,1180,1100,1150,1170,1140,1170,1140,1100,1120,1140,1180,1140,1130,1180,1110,1160,1100,1160,1140,1150,1100,1150,1080,1140,1100,1130,1150,1100,1170,1180,1120,1160,1140,1170,1110,1160,1170,1110,1160,1140,1130,1090,1170,1160,1140,1150,1110,1150,1150,1120,1160,1140,1190,1120,1120,1150,1170,1160,1160,1140,1190,1170,1150,1160,1150,1180,1140,1180,1180,1140,1160,1150,1130,1150,1140,1240,1240,1220,1230,1230,1230,1240,1250,1250,1240,1240,1220,1270,1300,1250,1250,1290
1110,1090,921,1160,1170,1140,1230,341,432,919,385,938,932,366,918,377,0,935,763,979,453,929,918,924,731,912,750,848,747,763,975,972,969,909,1240,1240,1170,1250,1240,1100,1130,1080,1150,1110,1090,1110,1130,1110,1090,1090,1090,1140,1110,1170,1220,1230,1110,1100,1120,1120,1120,1120,1130,1100,1150,1100,1090,1100,1150,1170,1160,1150,1180,1150,1150,1120,1150,1150,1140,1160,1130,1120,1130,1160,1150,1160,1120,1180,1130,1180,1160,1130,1130,1130,1130,1140,1140,1140,1120,1160,1170,1130,1170,1160,1140,1160,1150,1160,1130,1160,1160,1110,1140,1150,1150,1100,1150,1160,1130,1140,1120,1140,1140,1120,1160,1160,1180,1140,1130,1140,1170,1150,1200,1160,1180,1180,1170,1160,1150,1200,1130,1190,1210,1130,1180,1200,1160,1160,1210,1240,1230,1230,1240,1230,1220,1240,1250,1240,1240,1250,1230,1250,1310,1270,1250,1290
1130,1150,304,1170,1130,1130,1250,913,950,817,924,306,417,949,770,900,935,0,877,839,939,514,608,755,850,549,952,918,1020,1010,731,1100,1090,1030,1240,1200,1220,1220,1200,1130,1150,1140,1170,1170,1170,1190,1180,1170,1130,1110,1120,1160,1060,1160,1170,1150,1140,1120,1110,1140,1140,1130,1140,1150,1130,1130,1120,1140,1100,1130,1140,1100,1120,1110,1100,1060,1110,1110,1150,1150,1120,1140,1150,1100,1150,1120,1130,1170,1100,1150,1120,1110,1150,1120,1080,1110,1090,1110,1110,1080,1150,1060,1130,1140,1150,1140,1090,1110,1170,1120,1130,1130,1110,1180,1130,1070,1130,1140,1150,1110,1130,1140,1150,1110,1140,1110,1110,1150,1120,1120,1070,1150,1130,1110,1190,1090,1140,1150,1140,1180,1110,1120,1130,1120,1110,1160,1160,1120,1150,1260,1240,1240,1250,1220,1230,1260,1250,1230,1230,1250,1250,1230,1270,1240,1260,1230
1130,1160,880,1190,1130,1120,1250,731,846,879,819,846,822,799,835,801,763,877,0,839,783,885,890,763,472,892,674,638,832,820,927,1080,1070,983,1250,1220,1180,1240,1200,1150,1150,1110,1170,1190,1150,1150,1180,1170,1080,1130,1110,1170,1090,1140,1230,1240,1120,1170,1140,1130,1130,1130,1090,1130,1160,1130,1130,1110,1150,1130,1170,1140,1170,1130,1180,1100,1180,1160,1140,1190,1150,1140,1140,1170,1160,1150,1140,1150,1150,1150,1150,1180,1150,1160,1110,1170,1110,1120,1140,1150,1150,1110,1170,1170,1150,1160,1150,1170,1140,1170,1180,1170,1160,1170,1140,1090,1150,1170,1160,1120,1120,1130,1130,1140,1150,1140,1130,1160,1140,1140,1120,1160,1180,1160,1190,1160,1140,1140,1160,1200,1170,1170,1190,1110,1160,1220,1160,1120,1170,1260,1260,1230,1250,1230,1220,1240,1260,1250,1270,1250,1240,1250,1280,1230,1220,1280
1170,1130,837,1200,1160,1170,1270,924,961,502,926,856,853,976,488,973,979,839,839,0,943,853,794,671,870,822,965,871,1010,1020,902,1070,1030,1030,1230,1230,1200,1260,1200,1150,1130,1120,1140,1160,1170,1170,1170,1140,1120,1130,1130,1190,1100,1160,1240,1250,1150,1130,1170,1150,1150,1150,1160,1160,1180,1150,1140,1160,1200,1160,1200,1180,1200,1180,1180,1150,1190,1210,1170,1210,1190,1170,1170,1170,1160,1220,1180,1210,1210,1170,1220,1170,1190,1200,1170,1230,1190,1180,1190,1160,1210,1150,1190,1170,1210,1200,1170,1180,1160,1190,1210,1160,1180,1190,1200,1120,1190,1200,1200,1150,1130,1130,1190,1160,1170,1160,1160,1190,1170,1150,1140,1150,1210,1160,1210,1160,1190,1170,1180,1200,1160,1200,1230,1140,1190,1190,1140,1180,1200,1260,1260,1250,1250,1260,1260,1270,1250,1240,1260,1260,1250,1240,1270,1240,1260,1280
